,id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
17,401310696,2021,1,regular,2021-09-03T00:00:00.000Z,False,False,False,15908.0,3971,University Stadium,167,New Mexico,Mountain West,27.0,"[14, 7, 3, 3]",,,,2277,Houston Baptist,,17.0,"[0, 10, 0, 7]",,,,,,
18,401282180,2021,1,regular,2021-09-03T00:00:00.000Z,False,False,False,16236.0,3796,Houchens Industries-L. T. Smith Stadium,98,Western Kentucky,Conference USA,59.0,"[7, 21, 17, 14]",0.9974874797982355,,,2630,UT Martin,,21.0,"[7, 7, 0, 7]",0.002512520201764512,,,3.4696869058,,
19,401310694,2021,1,regular,2021-09-03T02:00:00.000Z,False,False,False,21970.0,6501,Allegiant Stadium,2439,UNLV,Mountain West,33.0,"[0, 6, 0, 14, 7, 6]",,,,331,Eastern Washington,,35.0,"[0, 3, 17, 0, 7, 8]",,,,,,
20,401309835,2021,1,regular,2021-09-03T02:30:00.000Z,False,False,False,44456.0,3947,Sun Devil Stadium,9,Arizona State,Pac-12,41.0,"[13, 15, 6, 7]",0.9989417266712739,,,253,Southern Utah,,14.0,"[7, 0, 7, 0]",0.0010582733287261004,,,1.1008051137,,
21,401309937,2021,1,regular,2021-09-03T22:00:00.000Z,False,False,True,65632.0,3799,Lane Stadium,259,Virginia Tech,ACC,17.0,"[7, 7, 0, 3]",0.9657623026389909,1534.0,1555.0,153,North Carolina,ACC,10.0,"[0, 0, 7, 3]",0.03423769736100912,1724.0,1703.0,6.1739447701,,
22,401282052,2021,1,regular,2021-09-03T23:00:00.000Z,False,False,False,14125.0,4418,Jerry Richardson Stadium,2429,Charlotte,Conference USA,31.0,"[7, 3, 7, 14]",0.3802794763077427,1366.0,1366.0,150,Duke,ACC,28.0,"[0, 14, 0, 14]",0.6197205236922573,1294.0,1294.0,9.9391115015,,
23,401282608,2021,1,regular,2021-09-03T23:00:00.000Z,False,False,False,25673.0,3630,BB&T Field,154,Wake Forest,ACC,42.0,"[14, 14, 7, 7]",,1519.0,1580.0,295,Old Dominion,Conference USA,10.0,"[3, 0, 0, 7]",,1303.0,1242.0,,,
24,401309541,2021,1,regular,2021-09-03T23:00:00.000Z,False,False,False,16461.0,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,35.0,"[14, 14, 7, 0]",,,,2598,St Francis (PA),,15.0,"[0, 7, 0, 8]",,,,,,
25,401287888,2021,1,regular,2021-09-04T00:00:00.000Z,False,False,False,26103.0,3833,Memorial Stadium,2305,Kansas,Big 12,17.0,"[0, 7, 3, 7]",0.3566755518023538,,,233,South Dakota,,14.0,"[0, 0, 7, 7]",0.6433244481976462,,,6.3957990631,,
26,401309836,2021,1,regular,2021-09-04T01:00:00.000Z,False,False,False,44153.0,3726,Folsom Field,38,Colorado,Pac-12,35.0,"[0, 14, 7, 14]",0.9986483170794433,,,2458,Northern Colorado,,7.0,"[0, 0, 7, 0]",0.0013516829205566516,,,1.3054248484,,
27,401310695,2021,1,regular,2021-09-04T01:00:00.000Z,False,False,False,32327.0,5388,Canvas Stadium,36,Colorado State,Mountain West,23.0,"[0, 10, 0, 13]",,,,2571,South Dakota State,,42.0,"[7, 14, 14, 7]",,,,,,
28,401282782,2021,1,regular,2021-09-04T01:00:00.000Z,False,False,True,34248.0,3911,Ryan Field,77,Northwestern,Big Ten,21.0,"[0, 7, 0, 14]",0.008688733173155496,1639.0,1574.0,127,Michigan State,Big Ten,38.0,"[14, 7, 7, 10]",0.9913112668268445,1424.0,1489.0,3.3080173367,,
29,401282772,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,109295.0,3558,Michigan Stadium,130,Michigan,Big Ten,47.0,"[10, 17, 6, 14]",0.9986865417930266,1591.0,1672.0,2711,Western Michigan,Mid-American,14.0,"[7, 0, 0, 7]",0.0013134582069733725,1510.0,1429.0,2.3235980123,,
30,401282822,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,52519.0,6577,SHI Stadium,164,Rutgers,Big Ten,61.0,"[12, 14, 14, 21]",0.9876925847980061,1393.0,1523.0,218,Temple,American Athletic,14.0,"[0, 7, 7, 0]",0.012307415201993854,1304.0,1174.0,2.508015306,,
31,401287889,2021,1,regular,2021-09-04T16:00:00.000Z,False,True,False,28668.0,3687,AT&T Stadium,2306,Kansas State,Big 12,24.0,"[7, 7, 0, 10]",0.9885480025786976,1447.0,1497.0,24,Stanford,Pac-12,7.0,"[0, 0, 0, 7]",0.011451997421302429,1491.0,1441.0,3.0408518701,,
32,401282815,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,True,76832.0,347,Camp Randall Stadium,275,Wisconsin,Big Ten,10.0,"[0, 0, 7, 3]",0.8185644967745165,1744.0,1727.0,213,Penn State,Big Ten,16.0,"[0, 0, 7, 9]",0.18143550322548352,1668.0,1685.0,8.6262290777,,
33,401309601,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,18280.0,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,10.0,"[0, 7, 3, 0]",0.011110718672779117,1410.0,1334.0,349,Army,FBS Independents,43.0,"[14, 13, 6, 10]",0.9888892813272209,1549.0,1625.0,2.2807184063,,
34,401281947,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,47693.0,3683,Commonwealth Stadium,96,Kentucky,SEC,45.0,"[14, 14, 3, 14]",0.9989399455856591,1550.0,1593.0,2433,Louisiana Monroe,Sun Belt,10.0,"[7, 0, 0, 3]",0.0010600544143408719,1101.0,1058.0,1.5118704405,,
35,401327913,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,85938.0,3834,Memorial Stadium,158,Nebraska,Big Ten,52.0,"[7, 17, 14, 14]",0.9028727534360819,,,2230,Fordham,,7.0,"[0, 7, 0, 0]",0.09712724656391813,,,1.3091986595,,
36,401286188,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,18782.0,3892,Rentschler Field,41,Connecticut,American Athletic,28.0,"[14, 7, 7, 0]",0.02503652197942647,,,107,Holy Cross,,38.0,"[7, 17, 7, 7]",0.9749634780205735,,,6.4352510272,,
37,401282609,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,28991.0,3615,Alumni Stadium,103,Boston College,ACC,51.0,"[7, 20, 3, 21]",0.9989204847197184,,,2142,Colgate,,0.0,"[0, 0, 0, 0]",0.0010795152802816066,,,1.0793145235,,
38,401287894,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,42206.0,3835,Gaylord Family Oklahoma Memorial Stadium,201,Oklahoma,Big 12,40.0,"[14, 23, 3, 0]",0.021390135630190765,1875.0,1869.0,2655,Tulane,American Athletic,35.0,"[14, 0, 8, 13]",0.9786098643698092,1597.0,1603.0,2.1698702327,,
39,401310861,2021,1,regular,2021-09-04T18:00:00.000Z,False,False,False,30012.0,3713,Falcon Stadium,2005,Air Force,Mountain West,35.0,"[14, 14, 0, 7]",,,,322,Lafayette,,14.0,"[0, 7, 7, 0]",,,,,,
40,401309838,2021,1,regular,2021-09-04T18:00:00.000Z,False,False,False,0.0,3626,Autzen Stadium,2483,Oregon,Pac-12,31.0,"[14, 7, 0, 10]",0.6554397056353632,1698.0,1700.0,278,Fresno State,Mountain West,24.0,"[0, 13, 8, 3]",0.34456029436463675,1565.0,1563.0,6.5519471201,,
41,401281943,2021,1,regular,2021-09-04T18:00:00.000Z,False,False,False,64065.0,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,38.0,"[7, 0, 10, 21]",0.9906022601032428,1417.0,1470.0,242,Rice,Conference USA,17.0,"[0, 10, 7, 0]",0.009397739896757185,1447.0,1394.0,2.100219017,,
42,401300996,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,False,37978.0,3854,Nippert Stadium,2132,Cincinnati,American Athletic,49.0,"[21, 14, 0, 14]",0.9989680828534763,1783.0,1836.0,193,Miami (OH),Mid-American,14.0,"[0, 0, 0, 14]",0.001031917146523731,1426.0,1373.0,1.2835892447,,
43,401282764,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,False,43811.0,3665,Maryland Stadium,120,Maryland,Big Ten,30.0,"[17, 3, 0, 10]",0.98110910610178,1379.0,1395.0,277,West Virginia,Big 12,24.0,"[14, 7, 0, 3]",0.018890893898219963,1549.0,1533.0,8.6806655519,,
44,401282723,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,True,68166.0,3793,Kinnick Stadium,2294,Iowa,Big Ten,34.0,"[14, 17, 0, 3]",0.9979199925443467,1805.0,1860.0,84,Indiana,Big Ten,6.0,"[3, 0, 3, 0]",0.0020800074556532877,1649.0,1594.0,2.2651769074,,
45,401282174,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,False,30131.0,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,7.0,"[0, 0, 0, 7]",0.0015932988484657657,1380.0,1275.0,276,Marshall,Conference USA,49.0,"[14, 7, 7, 21]",0.9984067011515342,1535.0,1640.0,2.1046809431,,
46,401281942,2021,1,regular,2021-09-04T19:30:00.000Z,False,True,False,71829.0,5348,Mercedes-Benz Stadium,2390,Miami,ACC,13.0,"[0, 3, 10, 0]",0.01176962249522609,1606.0,1584.0,333,Alabama,SEC,44.0,"[10, 17, 14, 3]",0.9882303775047739,2099.0,2121.0,0.7900699466,,
47,401281950,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,46237.0,3838,Faurot Field,142,Missouri,SEC,34.0,"[7, 10, 7, 10]",0.5274031244762054,1503.0,1515.0,2117,Central Michigan,Mid-American,24.0,"[7, 7, 0, 10]",0.4725968755237946,1438.0,1426.0,6.5597184067,,
48,401282612,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,41486.0,3752,Heinz Field,221,Pittsburgh,ACC,51.0,"[13, 10, 14, 14]",0.9988486164510799,1543.0,1609.0,113,UMass,FBS Independents,7.0,"[0, 0, 0, 7]",0.0011513835489200819,1061.0,995.0,1.1508209908,,
49,401310697,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,27007.0,3984,War Memorial Stadium,2751,Wyoming,Mountain West,19.0,"[0, 3, 0, 16]",0.9891546913521992,,,147,Montana State,,16.0,"[7, 0, 0, 9]",0.010845308647800755,,,11.2612057931,,
50,401281949,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,44669.0,3693,Davis Wade Stadium,344,Mississippi State,SEC,35.0,"[14, 0, 0, 21]",0.5783879057964902,1513.0,1508.0,2348,Louisiana Tech,Conference USA,34.0,"[7, 14, 10, 3]",0.42161209420350976,1337.0,1342.0,6.8510707457,,
51,401287892,2021,1,regular,2021-09-04T20:30:00.000Z,False,False,False,91113.0,3910,Darrell K Royal-Texas Memorial Stadium,251,Texas,Big 12,38.0,"[7, 7, 14, 10]",0.9787923181246069,1767.0,1801.0,309,Louisiana,Sun Belt,18.0,"[3, 3, 6, 6]",0.021207681875393125,1645.0,1611.0,3.8381599324,,
52,401287887,2021,1,regular,2021-09-04T20:30:00.000Z,False,False,False,61500.0,3772,Jack Trice Stadium,66,Iowa State,Big 12,16.0,"[3, 10, 0, 3]",0.8786943269118912,,,2460,Northern Iowa,,10.0,"[7, 3, 0, 0]",0.1213056730881088,,,3.4750110544,,
53,401309842,2021,1,regular,2021-09-04T21:00:00.000Z,False,False,False,54398.0,477,Los Angeles Memorial Coliseum,30,USC,Pac-12,30.0,"[10, 3, 0, 17]",,1628.0,1672.0,23,San José State,Mountain West,7.0,"[0, 0, 7, 0]",,1513.0,1469.0,,,
54,401309600,2021,1,regular,2021-09-04T22:00:00.000Z,False,False,False,15089.0,3608,Paulson Stadium,290,Georgia Southern,Sun Belt,30.0,"[3, 17, 0, 10]",,,,2241,Gardner-Webb,,25.0,"[6, 0, 6, 13]",,,,,,
55,401286294,2021,1,regular,2021-09-04T22:00:00.000Z,False,False,False,15834.0,3992,Williams Stadium,2335,Liberty,FBS Independents,48.0,"[14, 6, 14, 14]",0.9975063541111128,,,2097,Campbell,,7.0,"[0, 7, 0, 0]",0.0024936458888872304,,,1.8277711552,,
56,401300998,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,0.0,3735,Gerald J. Ford Stadium,2567,SMU,American Athletic,56.0,"[7, 28, 14, 7]",0.9989704496065108,,,2000,Abilene Christian,,9.0,"[0, 3, 6, 0]",0.0010295503934891759,,,1.219540259,,
57,401281951,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,64868.0,3994,Williams-Brice Stadium,2579,South Carolina,SEC,46.0,"[15, 14, 3, 14]",0.9986969045846604,,,2197,Eastern Illinois,,0.0,"[0, 0, 0, 0]",0.0013030954153395724,,,1.1743357656,,
58,401300997,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,30263.0,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,42.0,"[10, 19, 6, 7]",0.9898961142112114,,,2447,Nicholls,,17.0,"[7, 0, 7, 3]",0.010103885788788625,,,2.028721361,,
59,401282173,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,15017.0,3725,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Conference USA,50.0,"[0, 21, 7, 22]",,,,2405,Monmouth,,15.0,"[0, 7, 8, 0]",,,,,,
60,401309543,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,0.0,3739,Glass Bowl,2649,Toledo,Mid-American,49.0,"[14, 14, 14, 7]",0.9989709925009136,,,2450,Norfolk State,,10.0,"[7, 0, 0, 3]",0.0010290074990864095,,,1.0562631389,,
61,401309598,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,15662.0,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,40.0,"[3, 3, 14, 20]",0.9863754340969222,,,2110,Central Arkansas,,21.0,"[7, 0, 7, 7]",0.013624565903077812,,,5.4186020668,,
62,401309602,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,22399.0,3975,Veterans Memorial Stadium,2653,Troy,Sun Belt,55.0,"[14, 20, 14, 7]",0.9985643385639026,,,2582,Southern,,3.0,"[0, 3, 0, 0]",0.001435661436097413,,,1.2421414423,,
63,401287890,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,50807.0,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,23.0,"[6, 14, 0, 3]",0.866842312600251,,,2623,Missouri State,,16.0,"[0, 3, 6, 7]",0.13315768739974898,,,5.7464549428,,
64,401281944,2021,1,regular,2021-09-04T23:00:00.000Z,False,False,False,83821.0,3785,Jordan-Hare Stadium,2,Auburn,SEC,60.0,"[13, 24, 16, 7]",0.9989678214762067,1665.0,1740.0,2006,Akron,Mid-American,10.0,"[0, 0, 0, 10]",0.0010321785237933367,1104.0,1029.0,1.1278404344,,
