,team,color,alt_color,color_name,alt_color_name,latitude,longitude,elevation,capacity,year_constructed,grass,dome
82,Oregon,#044520,#fee123,Green,Yellow,44.0582712,-123.0684883,127.4198303,54000,1967,False,False
83,Oregon State,#c34500,#dea076,Orange,Black,44.5594559,-123.2814341,66.90744781,43363,1953,False,False
84,Penn State,#00265D,#002e5c,Blue,White,40.8121958,-77.8561023,354.1551514,106572,1960,False,False
85,Pittsburgh,#003263,#231f20,Blue,Yellow,40.4467648,-80.0157603,220.5887146,68400,2001,False,False
86,Purdue,#B89D29,#a4a9ad,Yellow,Black,40.4352253,-86.9186843,197.5337677,57282,1924,False,False
87,Rice,#003D7D,#d1d5d8,Blue,Gray,29.7163297,-95.4093261,7.148301601,47000,1950,False,False
88,Rutgers,#d21034,#ffffff,Red,Gray,40.5136754,-74.4655737,8.543146133,52454,1994,False,False
89,San Diego State,#BF2C37,#a8996e,Red,Black,32.7831122,-117.1195716,16.28476334,70561,1967,False,False
90,San José State,#005893,#fdba31,Yellow,White,37.3196675,-121.8682962,28.30708694,30456,1933,False,False
91,SMU,#E32F38,#ecdcb9,Red,Blue,32.8377223,-96.7827859,169.4058075,32000,2000,False,False
92,South Alabama,#003E7E,,Blue,Red,30.6730374,-88.0755704,9.828813553,33471,1948,False,False
93,South Carolina,#670010,#000000,Red,Black,33.9730239,-81.0191726,60.54548645,80250,1934,True,False
94,Southern Mississippi,#FFAA3C,#ffc423,Black,Yellow,31.3289321,-89.3318118,64.52726746,36000,1932,False,False
95,South Florida,#004A36,#231f20,Green,Yellow,27.9758691,-82.5033344,11.07972908,65828,1998,False,False
96,Stanford,#A80532,#ffffff,Red,White,37.4345556,-122.1611271,18.38425636,50424,2006,False,False
97,Syracuse,#F37321,#0d1d37,Orange,White,43.0362269,-76.1363161,162.6989746,49057,1980,False,True
98,TCU,#3C377D,#f1f2f3,Purple,White,32.7096604,-97.3680835,185.4387054,46000,1929,False,False
99,Temple,#A80532,#a7a9ac,Red,White,39.9007995,-75.1675414,3.198706865,69879,2003,False,False
100,Tennessee,#EE9627,#ffffff,Orange,White,35.9550131,-83.9250128,271.9517212,102455,1921,True,False
101,Texas,#EE7524,#f0f0f0,Orange,White,30.2836813,-97.7325345,160.3089447,100119,1924,False,False
102,Texas A&M,#5C0025,#ffffff,Red,White,30.6098891,-96.3403828,108.824585,102733,1927,True,False
103,Texas State,#4e1719,#b4975a,Red,Yellow,29.8910008,-97.9255735,177.8676453,30000,1981,False,False
104,Texas Tech,#C80025,#231f20,Red,Black,33.5910518,-101.8728824,980.7632446,60454,1947,False,False
105,Toledo,#ffffff,#ffd51d,Blue,Yellow,41.6574777,-83.6135652,181.4839783,26038,1937,False,False
106,Troy,#AE0210,#88898c,Red,Gray,31.7995565,-85.9518328,154.7746277,30000,1950,False,False
107,Tulane,#005837,#3baf29,Green,Blue,29.944616,-90.116692,1.18E-38,30000,2014,False,False
